id,time_casa,time_fora,data_hora_jogo,gols_casa,gols_fora,status
2026001,México,África do Sul,2026-06-11T19:00:00+00:00,,,SCHEDULED
2026002,Canadá,Ucrânia,2026-06-12T17:00:00+00:00,,,SCHEDULED
2026003,Estados Unidos,Paraguai,2026-06-13T01:00:00+00:00,,,SCHEDULED
2026004,Qatar,Suíça,2026-06-13T18:00:00+00:00,,,SCHEDULED
2026005,Brasil,Marrocos,2026-06-14T20:00:00+00:00,,,SCHEDULED
2026006,Haiti,Escócia,2026-06-15T19:00:00+00:00,,,SCHEDULED
2026007,Argentina,Argélia,2026-06-16T22:00:00+00:00,,,SCHEDULED
2026008,França,Austrália,2026-06-17T19:00:00+00:00,,,SCHEDULED
2026009,Inglaterra,Croácia,2026-06-18T20:00:00+00:00,,,SCHEDULED
2026010,Alemanha,Camarões,2026-06-19T17:00:00+00:00,,,SCHEDULED
2026011,Portugal,Gana,2026-06-20T19:00:00+00:00,,,SCHEDULED
2026012,Espanha,Coreia do Sul,2026-06-21T22:00:00+00:00,,,SCHEDULED
2026013,Uruguai,Japão,2026-06-22T18:00:00+00:00,,,SCHEDULED
2026014,Bélgica,Arábia Saudita,2026-06-22T21:00:00+00:00,,,SCHEDULED
2026015,Holanda,Equador,2026-06-23T16:00:00+00:00,,,SCHEDULED
2026016,Áustria,Nigéria,2026-06-23T19:00:00+00:00,,,SCHEDULED
2026017,México,Costa Rica,2026-06-24T22:00:00+00:00,,,SCHEDULED
2026018,Canadá,Irlanda,2026-06-25T17:00:00+00:00,,,SCHEDULED
2026019,Estados Unidos,Suécia,2026-06-25T20:00:00+00:00,,,SCHEDULED
2026020,Brasil,Dinamarca,2026-06-26T18:00:00+00:00,,,SCHEDULED
2026021,Tunísia,Irã,2026-06-26T21:00:00+00:00,,,SCHEDULED
2026022,Polônia,Jamaica,2026-06-27T15:00:00+00:00,,,SCHEDULED
2026023,Peru,Ucrânia,2026-06-27T18:00:00+00:00,,,SCHEDULED
2026024,Sérvia,Mali,2026-06-27T21:00:00+00:00,,,SCHEDULED
2026025,Suécia,Paraguai,2026-06-28T14:00:00+00:00,,,SCHEDULED
2026026,Dinamarca,Marrocos,2026-06-28T17:00:00+00:00,,,SCHEDULED
2026027,França,Gales,2026-06-28T20:00:00+00:00,,,SCHEDULED
2026028,Chile,Costa do Marfim,2026-06-29T16:00:00+00:00,,,SCHEDULED
2026029,Colômbia,Austrália,2026-06-29T19:00:00+00:00,,,SCHEDULED
2026030,Áustria,Senegal,2026-06-29T22:00:00+00:00,,,SCHEDULED
2026031,Estados Unidos,Qatar,2026-06-30T17:00:00+00:00,,,SCHEDULED
2026032,Suíça,Paraguai,2026-06-30T20:00:00+00:00,,,SCHEDULED
